Day fraction since midnight on 	pH probe (pH)	Source pressure (Pa)
0.6100500606	7.8709173203	0.0000000000
0.6100616330	7.8652601242	0.0000000000
0.6100732127	7.8716788292	0.0000000000
0.6100847805	7.8675055504	0.0000000000
0.6100963580	7.8657512665	0.0000000000
0.6101079338	7.8717861176	0.0000000000
0.6101195127	7.8663764000	0.0000000000
0.6101310802	7.8594088554	0.0000000000
0.6101426520	7.8542113304	0.0000000000
0.6101542261	7.8558068275	0.0000000000
0.6101658156	7.8638234138	0.0000000000
0.6101773789	7.8640937805	0.0000000000
0.6101889493	7.8706736565	0.0000000000
0.6102005202	7.8594970703	0.0000000000
0.6102120933	7.8600096703	0.0000000000
0.6102236762	7.8653407097	0.0000000000
0.6102352493	7.8495793343	0.0000000000
0.6102468255	7.8476119041	0.0000000000
0.6102583891	7.8448944092	0.0000000000
0.6102699648	7.8446841240	0.0000000000
0.6102815400	7.8433446884	0.0000000000
0.6102931182	7.8417377472	0.0000000000
0.6103046935	7.8381953239	0.0000000000
0.6103162652	7.8369035721	0.0000000000
0.6103278335	7.8457956314	0.0000000000
0.6103394126	7.8572888374	0.0000000000
0.6103509895	7.8466653824	0.0000000000
0.6103625627	7.8455662727	0.0000000000
0.6103741350	7.8464851379	0.0000000000
0.6103857142	7.8473439217	0.0000000000
0.6103972823	7.8491725922	0.0000000000
0.6104088600	7.8400597572	0.0000000000
0.6104204373	7.8309779167	0.0000000000
0.6104320092	7.8326249123	0.0000000000
0.6104435828	7.8374691010	0.0000000000
0.6104551530	7.8396086693	0.0000000000
0.6104667257	7.8374338150	0.0000000000
0.6104783080	7.8301329613	0.0000000000
0.6104898698	7.8262786865	0.0000000000
0.6105014457	7.8201704025	0.0000000000
0.6105130334	7.8235268593	0.0000000000
0.6105245962	7.8277988434	0.0000000000
0.6105361699	7.8234825134	0.0000000000
0.6105477419	7.8261857033	0.0000000000
0.6105593229	7.8238306046	0.0000000000
0.6105708986	7.8278117180	0.0000000000
0.6105824678	7.8250584602	0.0000000000
0.6105940462	7.8140645027	0.0000000000
0.6106056119	7.8216643333	0.0000000000
0.6106171929	7.8183135986	0.0000000000
0.6106287684	7.8115825653	0.0000000000
0.6106403386	7.8142566681	0.0000000000
0.6106519140	7.8103151321	0.0000000000
0.6106634873	7.8172974586	0.0000000000
0.6106750557	7.8148932457	0.0000000000
0.6106866388	7.8175973892	0.0000000000
0.6106982134	7.8158855438	0.0000000000
0.6107097781	7.8129487038	0.0000000000
0.6107213523	7.8147964478	0.0000000000
0.6107329363	7.8136000633	0.0000000000
0.6107445212	7.8159389496	0.0000000000
0.6107560846	7.8176159859	0.0000000000
0.6107676581	7.8053822517	0.0000000000
0.6107792266	7.8051171303	0.0000000000
0.6107908134	7.8073873520	0.0000000000
0.6108023762	7.7992830276	0.0000000000
0.6108139501	7.8030128479	0.0000000000
0.6108256091	7.8063306808	0.0000000000
0.6108370953	7.8185114861	0.0000000000
0.6108486769	7.8102083206	0.0000000000
0.6108602443	7.8150525093	0.0000000000
0.6108718364	7.8102259636	0.0000000000
0.6108833906	7.8025712967	0.0000000000
0.6108949682	7.8087081909	0.0000000000
0.6109065387	7.8166432381	0.0000000000
0.6109181235	7.8105649948	0.0000000000
0.6109296958	7.8075389862	0.0000000000
0.6109411516	7.8071322441	0.0000000000
0.6109528404	7.7941975594	0.0000000000
0.6109644177	7.7910327911	0.0000000000
0.6109759833	7.7964010239	0.0000000000
0.6109875638	7.7875514030	0.0000000000
0.6109991386	7.7882475853	0.0000000000
0.6110107033	7.7941803932	0.0000000000
0.6110222779	7.7844805717	0.0000000000
0.6110338563	7.7860875130	0.0000000000
0.6110454329	7.7849626541	0.0000000000
0.6110570086	7.8002457619	0.0000000000
0.6110685834	7.7958450317	0.0000000000
0.6110801686	7.7865161896	0.0000000000
0.6110917293	7.7965955734	0.0000000000
0.6111033047	7.7977995872	0.0000000000
0.6111148814	7.7963356972	0.0000000000
0.6111264549	7.7819223404	0.0000000000
0.6111380232	7.7771134377	0.0000000000
0.6111495945	7.7840790749	0.0000000000
0.6111611784	7.7819275856	0.0000000000
0.6111727416	7.7760705948	0.0000000000
0.6111843157	7.8192100525	0.0000000000
0.6111958997	7.7907295227	0.0000000000
0.6112074627	7.7818160057	0.0000000000
0.6112190464	7.7788925171	0.0000000000
0.6112306205	7.7842841148	0.0000000000
0.6112422018	7.7939252853	0.0000000000
0.6112537712	7.7907795906	0.0000000000
0.6112653407	7.7882690430	0.0000000000
0.6112769176	7.7878375053	0.0000000000
0.6112884820	7.7808613777	0.0000000000
0.6113000561	7.7720260620	0.0000000000
0.6113116334	7.7890152931	0.0000000000
0.6113232087	7.7804098129	0.0000000000
0.6113347870	7.7731075287	0.0000000000
0.6113463538	7.7795534134	0.0000000000
0.6113579335	7.7747149467	0.0000000000
0.6113695033	7.7716331482	0.0000000000
0.6113810864	7.7665910721	0.0000000000
0.6113926562	7.7758231163	0.0000000000
0.6114042345	7.7820348740	0.0000000000
pump starts now
0.6114157976	7.7799696922	0.0000000000
0.6114273705	7.7681150436	0.0000000000
0.6114389450	7.7835521698	0.0000000000
0.6114505378	7.7838559151	0.0000000000
0.6114621028	7.7890644073	0.0000000000
0.6114736783	7.7887301445	0.0000000000
0.6114852498	8.2234153748	0.0000000000
0.6114968244	8.6400022507	0.0000000000
0.6115084019	8.6882972717	0.0000000000
0.6115199648	8.6802177429	0.0000000000
0.6115315376	8.6786479950	0.0000000000
0.6115431208	8.6640329361	0.0000000000
0.6115547004	8.6570882797	0.0000000000
0.6115662644	8.6478137970	0.0000000000
0.6115778398	8.6496963501	0.0000000000
0.6115894133	8.6470527649	0.0000000000
0.6116009904	8.6200952530	0.0000000000
0.6116125599	8.6256084442	0.0000000000
0.6116241504	8.6311101913	0.0000000000
0.6116357075	8.6407594681	0.0000000000
0.6116472834	8.6154069901	0.0000000000
0.6116588573	8.6128444672	0.0000000000
0.6116704391	8.6284866333	0.0000000000
0.6116820097	8.5913114548	0.0000000000
0.6116935914	8.5960817337	0.0000000000
0.6117051503	8.5887308121	0.0000000000
0.6117167301	8.5831375122	0.0000000000
0.6117283080	8.6059179306	0.0000000000
0.6117398796	8.5684356689	0.0000000000
0.6117514494	8.5606918335	0.0000000000
0.6117630264	8.5468015671	0.0000000000
0.6117745938	8.5364542007	0.0000000000
0.6117861687	8.5633554459	0.0000000000
0.6117977471	8.5318069458	0.0000000000
0.6118093176	8.5513753891	0.0000000000
0.6118209006	8.5104541779	0.0000000000
0.6118324727	8.5453290939	0.0000000000
0.6118440399	8.5374803543	0.0000000000
0.6118556171	8.4925117493	0.0000000000
0.6118671936	8.5093650818	0.0000000000
0.6118787616	8.5012063980	0.0000000000
0.6118903411	8.4974031448	0.0000000000
0.6119019122	8.5098476410	0.0000000000
0.6119134873	8.4552545547	0.0000000000
0.6119250635	8.4892263412	0.0000000000
0.6119366313	8.4659509659	0.0000000000
0.6119482088	8.4759788513	0.0000000000
0.6119597796	8.4573240280	0.0000000000
0.6119713536	8.4602937698	0.0000000000
0.6119829272	8.4524803162	0.0000000000
0.6119945058	8.4497690201	0.0000000000
0.6120060837	8.4107580185	0.0000000000
0.6120176604	8.4327449799	0.0000000000
0.6120292275	8.4960050583	0.0000000000
0.6120408040	8.4771566391	0.0000000000
0.6120523764	8.4459209442	0.0000000000
0.6120639483	8.4420318604	0.0000000000
0.6120755401	8.4252729416	0.0000000000
0.6120870980	8.4637765884	0.0000000000
0.6120986694	8.3794307709	0.0000000000
0.6121102540	8.3837270737	0.0000000000
0.6121218178	8.4468574524	0.0000000000
0.6121333972	8.4762287140	0.0000000000
0.6121449646	8.4575719833	0.0000000000
0.6121565397	8.4352188110	0.0000000000
0.6121681165	8.4624214172	0.0000000000
0.6121796952	8.4464654922	0.0000000000
0.6121912660	8.4211359024	0.0000000000
0.6122028413	8.4273977280	0.0000000000
0.6122144143	8.3968973160	0.0000000000
0.6122259862	8.4496335983	0.0000000000
0.6122375635	8.4222564697	0.0000000000
0.6122491394	8.3883924484	0.0000000000
0.6122607125	8.3632202148	0.0000000000
0.6122722804	8.3601961136	0.0000000000
0.6122838571	8.3971395493	0.0000000000
0.6122954318	8.4010992050	0.0000000000
0.6123070122	8.3941898346	0.0000000000
