Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6378604196	-0.6414382458	3.4885725975
0.6379182971	-0.6415176988	3.4886140823
0.6379761769	-0.6416175961	3.4886662960
0.6380340337	-0.6417130232	3.4887161255
0.6380919112	-0.6417636871	3.4887425900
0.6381497654	-0.6417253017	3.4887225628
0.6382076664	-0.6416290402	3.4886722565
0.6382655232	-0.6417417526	3.4887311459
0.6383233801	-0.6421383023	3.4889383316
0.6383812577	-0.6421018243	3.4889192581
0.6384391173	-0.6420379281	3.4888858795
0.6384970180	-0.6422756910	3.4890100956
0.6385548719	-0.6414957643	3.4886026382
0.6386127280	-0.6421406269	3.4889395237
0.6386706083	-0.6422300339	3.4889862537
0.6387284850	-0.6423454881	3.4890465736
0.6387863390	-0.6423633099	3.4890558720
0.6388442227	-0.6425942183	3.4891765118
0.6389020791	-0.6425111294	3.4891331196
0.6389599561	-0.6424180865	3.4890844822
0.6390178323	-0.6425074935	3.4891312122
0.6390756851	-0.6427425146	3.4892539978
0.6391335649	-0.6427894831	3.4892785549
0.6391914180	-0.6426786184	3.4892206192
0.6392492938	-0.6427981853	3.4892830849
0.6393071697	-0.6430345178	3.4894065857
0.6393650226	-0.6429606080	3.4893679619
0.6394228984	-0.6424052715	3.4890778065
0.6394807801	-0.6430979967	3.4894397259
0.6395386332	-0.6430938840	3.4894375801
0.6395965143	-0.6429651976	3.4893703461
0.6396543667	-0.6429305077	3.4893522263
0.6397122429	-0.6430190206	3.4893984795
0.6397701188	-0.6430966258	3.4894390106
0.6398279739	-0.6429537535	3.4893643856
0.6398858727	-0.6431951523	3.4894905090
0.6399437256	-0.6431851387	3.4894852638
0.6400015784	-0.6433046460	3.4895477295
0.6400594598	-0.6433681250	3.4895808697
0.6401173128	-0.6432238817	3.4895055294
0.6401752140	-0.6432918906	3.4895410538
0.6402330665	-0.6430167556	3.4893972874
0.6402909196	-0.6432864070	3.4895381927
0.6403488000	-0.6433575749	3.4895753860
0.6404066759	-0.6432312131	3.4895093441
0.6404645286	-0.6433918476	3.4895932674
0.6405224114	-0.6434041262	3.4895997047
0.6405802641	-0.6432449222	3.4895164967
0.6406381400	-0.6430870295	3.4894340038
0.6406960160	-0.6433854103	3.4895899296
0.6407538687	-0.6434406638	3.4896187782
0.6408117518	-0.6434735060	3.4896359444
0.6408696043	-0.6435118318	3.4896559715
0.6409274802	-0.6435241699	3.4896624088
0.6409853564	-0.6436491609	3.4897277355
0.6410432319	-0.6436213255	3.4897131920
0.6411010847	-0.6434538960	3.4896256924
0.6411589606	-0.6433867812	3.4895906448
0.6412168365	-0.6434817314	3.4896402359
0.6412746937	-0.6437559128	3.4897835255
0.6413325695	-0.6435821056	3.4896926880
0.6413904221	-0.6433995962	3.4895973206
8 mL of red dye number 40 added now
0.6414483213	-0.6434908509	3.4896450043
0.6415061741	7.5242137909	0.6628967524
0.6415640269	34.7755966187	-1.2071865797
0.6416219028	32.8705520630	-1.1838144064
0.6416797840	32.5026092529	-1.1787143946
0.6417376368	32.0828781128	-1.1726413965
0.6417955356	31.6606025696	-1.1662449837
0.6418533885	31.2378578186	-1.1595399380
0.6419112436	30.8671226501	-1.1534003019
0.6419691195	30.4541091919	-1.1462621689
0.6420269953	30.0370502472	-1.1387208700
0.6420848511	29.5998725891	-1.1304392815
0.6421427272	29.2047061920	-1.1226066351
0.6422006032	28.8208541870	-1.1146686077
0.6422584582	28.4544353485	-1.1067751646
0.6423163342	28.0675258636	-1.0980912447
0.6423741869	27.6484451294	-1.0882631540
0.6424320626	27.2847213745	-1.0793620348
0.6424899395	26.8628044128	-1.0685852766
0.6425478164	26.5524597168	-1.0603362322
0.6426056728	26.1530513763	-1.0493011475
0.6426635518	25.7687339783	-1.0382201672
0.6427214056	25.4682903290	-1.0292286873
0.6427792828	25.0899257660	-1.0174785852
0.6428371597	24.7614707947	-1.0068783760
0.6428950136	24.3754997253	-0.9939275384
0.6429528950	24.0850143433	-0.9838152528
0.6430107718	23.7242813110	-0.9708039761
0.6430686280	23.3951797485	-0.9584794044
0.6431265049	23.0659961700	-0.9457018375
0.6431843818	22.7177295685	-0.9316754937
0.6432422356	22.4197635651	-0.9192454219
